Unnamed: 0,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
row_71,11,1,0.0,1,0.75,0.25,1,-0.244140625,1.352539063,0.070800781,0.289306641,0.126953125,0.16418457
row_72,11,2,0.04,3,0.75,0.25,1,-0.654296875,1.313476563,0.070800781,0.301513672,0.149536133,0.181274414
row_73,11,3,0.07,10,0.75,0.25,1,-0.21484375,1.411132813,0.070800781,0.269775391,0.092773438,0.121459961
row_74,11,4,0.07,12,0.75,0.25,1,0.263671875,1.391601563,0.061035156,0.286865234,0.098876953,0.115356445
row_75,11,5,0.08,14,0.75,0.25,1,-0.60546875,1.342773438,0.065917969,0.296630859,0.121459961,0.14465332
row_76,11,6,0.09,17,0.75,0.25,1,0.341796875,1.411132813,0.070800781,0.284423828,0.101928711,0.123901367
row_77,11,7,,19,0.75,0.25,1,0.21484375,1.40625,0.068359375,0.274658203,0.085449219,0.101318359
row_78,11,8,0.12,21,0.75,0.25,1,-0.366210938,1.416015625,0.065917969,0.321044922,0.096435547,0.115356445
row_79,11,9,0.16,27,0.75,0.25,1,-0.678710938,1.352539063,0.063476563,0.294189453,0.106811523,0.127563477
row_80,11,10,0.18,33,0.75,0.25,1,-0.463867188,1.381835938,0.070800781,0.290527344,0.100708008,0.122680664
row_81,11,11,0.2,39,0.75,0.25,1,0.146484375,1.411132813,0.068359375,0.284423828,0.095214844,0.108032227
row_82,11,12,0.23,45,0.75,0.25,1,-0.329589844,1.38671875,0.078125,0.289306641,0.115356445,0.138549805
row_83,11,13,0.26,51,0.75,0.25,1,-0.549316406,1.352539063,0.078125,0.281982422,0.092163086,0.121459961
row_84,11,14,,54,0.75,0.25,1,-0.554199219,1.352539063,0.078125,0.310058594,0.091552734,0.103759766
row_85,11,15,0.31,57,0.75,0.25,1,-0.092773438,1.396484375,0.085449219,0.301513672,0.095825195,0.122680664
row_86,11,16,0.37,63,0.75,0.25,1,-0.676269531,1.376953125,0.092773438,0.301513672,0.114746094,0.137939453
row_87,11,17,,67,0.75,0.25,1,-0.122070313,1.372070313,0.085449219,0.274658203,0.115966797,0.137939453
row_88,11,18,0.42,72,0.75,0.25,1,0.244140625,1.40625,0.080566406,0.264892578,0.117797852,0.140991211
row_89,11,19,0.47,80,0.75,0.25,1,0.246582031,1.396484375,0.078125,0.260009766,0.082397461,0.106811523
row_90,11,20,0.57,86,0.75,0.25,1,-0.09765625,1.352539063,0.13671875,0.267333984,0.098876953,0.120849609
row_91,11,21,0.65,93,0.75,0.25,1,-0.0390625,1.376953125,0.083007813,0.257568359,0.111694336,0.139770508
row_92,11,22,0.68,100,0.75,0.25,1,-0.798339844,1.34765625,0.073242188,0.279541016,0.102539063,0.133666992
row_93,11,23,0.76,105,0.75,0.25,1,0.21484375,1.342773438,0.070800781,0.261230469,0.09765625,0.116577148
