Unnamed: 0,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle,Source_Case
row_0,1,1,0,2,1.5,0.5,1,-0.017089844,0.625,0.078125,0.314941406,0.087280273,0.103759766,Case_1
row_1,1,2,,4,1.5,0.5,1,0.307617188,0.668945313,0.075683594,0.301513672,0.086669922,0.099487305,Case_1
row_2,1,3,,6,1.5,0.5,1,-0.725097656,0.913085938,0.083007813,0.295410156,0.092773438,0.104980469,Case_1
row_3,1,4,0.11,7,1.5,0.5,1,0.112304688,0.131835938,0.083007813,0.316162109,0.112915039,0.139770508,Case_1
row_4,1,5,,11,1.5,0.5,1,-0.122070313,0.44921875,0.107421875,0.284423828,0.095825195,0.110473633,Case_1
row_17,2,1,0.08,3,0.75,0.5,1,-0.649414063,1.3671875,0.087890625,0.307617188,0.018310547,0.123291016,Case_2
row_18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.061035156,0.286865234,0.082397461,0.106201172,Case_2
row_19,2,3,0.14,12,0.75,0.5,1,0.297851563,1.38671875,0.068359375,0.345458984,0.093383789,0.110473633,Case_2
row_20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.362304688,0.087890625,0.29296875,0.092163086,0.107421875,Case_2
row_31,3,1,0,0,0.75,0.25,1,-0.554199219,1.2890625,0.100097656,0.25390625,0.108032227,0.123291016,Case_3
row_32,3,2,0.13,3,0.75,0.25,1,-0.607910156,1.337890625,0.109863281,0.277099609,0.112304688,0.12512207,Case_3
row_33,3,3,0.13,9,0.75,0.25,1,0.161132813,1.333007813,0.100097656,0.277099609,0.1171875,0.13671875,Case_3
row_34,3,5,0.17,21,0.75,0.25,1,0.112304688,1.42578125,0.178222656,0.283203125,0.130615234,0.151977539,Case_3
row_45,4,1,0.08,3,1.5,0.25,1,-0.241699219,1.34765625,0.161132813,0.285644531,0.121459961,0.153198242,Case_4
row_46,4,2,0.13,9,1.5, ,1,0.341796875,1.391601563,0.173339844,0.2734375,0.106201172,0.128173828,Case_4
row_109,5,1,0,0,1.5,0.5,2,0.102539063,1.333007813,0.078125,0.289306641,0.120849609,0.145263672,Case_5
row_116,7,1,0,1,0.75,0.25,2,0.1171875,1.376953125,0.05859375,0.301513672,0.093383789,0.106811523,Case_7
row_117,7,2,0.09,3,0.75,0.25,2,-0.590820313,1.333007813,0.063476563,0.296630859,0.125732422,0.146484375,Case_7
row_124,8,1,0,0,0.75,0.5,2,0.126953125,1.381835938,0.063476563,0.296630859,0.104980469,0.120239258,Case_8
row_52,9,1,0,1,1.5,0.5,1,-0.407714844,1.3671875,0.090332031,0.29296875,0.145263672,0.171508789,Case_9
row_53,9,2,0.1,3,1.5,0.5,1,-0.595703125,1.333007813,0.070800781,0.270996094,0.131835938,0.151367188,Case_9
row_61,10,1,0,0,1.5,0.25,1,0.249023438,1.3671875,0.053710938,0.297851563,0.114135742,0.140380859,Case_10
row_62,10,2,0.04,4,1.5,0.25,1,-0.234375,1.42578125,0.05859375,0.289306641,0.120849609,0.131835938,Case_10
row_63,10,3,0.08,9,1.5,0.25,1,-0.64453125,1.352539063,0.051269531,0.284423828,0.122680664,0.146484375,Case_10
row_71,11,1,0,1,0.75,0.25,1,-0.244140625,1.352539063,0.070800781,0.289306641,0.126953125,0.16418457,Case_11
row_72,11,2,0.04,3,0.75,0.25,1,-0.654296875,1.313476563,0.070800781,0.301513672,0.149536133,0.181274414,Case_11
row_73,11,3,0.07,10,0.75,0.25,1,-0.21484375,1.411132813,0.070800781,0.269775391,0.092773438,0.121459961,Case_11
row_74,11,4,0.07,12,0.75,0.25,1,0.263671875,1.391601563,0.061035156,0.286865234,0.098876953,0.115356445,Case_11
row_75,11,5,0.08,14,0.75,0.25,1,-0.60546875,1.342773438,0.065917969,0.296630859,0.121459961,0.14465332,Case_11
row_76,11,6,0.09,17,0.75,0.25,1,0.341796875,1.411132813,0.070800781,0.284423828,0.101928711,0.123901367,Case_11
row_94,12,1,,1,0.75,0.5,1,6.41E-10,2.08E-33,1.05E-08,2.70E-06,4.07E-11,2.70E-06,Case_12
row_95,12,2,0.05,3,0.75,0.5,1,-0.217285156,1.328125,0.063476563,0.29296875,0.111083984,0.133666992,Case_12
row_96,12,3,0.08,6,0.75,0.5,1,0.102539063,1.352539063,0.05859375,0.289306641,0.126953125,0.15625,Case_12
row_97,12,4,,12,0.75,0.5,1,-0.627441406,1.352539063,0.070800781,0.300292969,0.119628906,0.141601563,Case_12
row_130,13,1,,1,0.75,0.25,2,-0.15625,1.372070313,0.061035156,0.311279297,0.090332031,0.103149414,Case_13
row_131,13,2,,2,0.75,0.25,2,-0.224609375,1.3671875,0.065917969,0.303955078,0.078125,0.095214844,Case_13
row_132,13,3,0.1,4,0.75,0.25,2,0.131835938,1.411132813,0.056152344,0.275878906,0.075073242,0.09765625,Case_13
row_133,13,4,0.13,7,0.75,0.25,2,-0.5078125,1.333007813,0.053710938,0.280761719,0.092773438,0.104980469,Case_13
row_145,14,1,,1,0.75,0.5,2,0.087890625,1.328125,0.05859375,0.302734375,0.090942383,0.108642578,Case_14
row_146,14,2,0.09,3,0.75,0.5,2,0.249023438,1.357421875,0.056152344,0.306396484,0.088500977,0.103149414,Case_14
row_154,15,1,,1,1.5,0.25,2,-0.458984375,1.357421875,0.068359375,0.29296875,0.08605957,0.104980469,Case_15
row_155,15,2,0.15,3,1.5,0.25,2,0.258789063,1.381835938,0.063476563,0.285644531,0.098266602,0.110473633,Case_15
