Unnamed: 0,smcAC,vib_table,AE_table
row_0,-0.017089844,0.078125,0.087280273
row_1,0.307617188,0.075683594,0.086669922
row_2,-0.725097656,0.083007813,0.092773438
row_3,0.112304688,0.083007813,0.112915039
row_4,-0.122070313,0.107421875,0.095825195
row_17,-0.649414063,0.087890625,0.018310547
row_18,-0.751953125,0.061035156,0.082397461
row_19,0.297851563,0.068359375,0.093383789
row_20,-0.556640625,0.087890625,0.092163086
row_31,-0.554199219,0.100097656,0.108032227
row_32,-0.607910156,0.109863281,0.112304688
row_33,0.161132813,0.100097656,0.1171875
row_34,0.112304688,0.178222656,0.130615234
row_45,-0.241699219,0.161132813,0.121459961
row_46,0.341796875,0.173339844,0.106201172
row_109,0.102539063,0.078125,0.120849609
row_116,0.1171875,0.05859375,0.093383789
row_117,-0.590820313,0.063476563,0.125732422
row_124,0.126953125,0.063476563,0.104980469
row_52,-0.407714844,0.090332031,0.145263672
row_53,-0.595703125,0.070800781,0.131835938
row_61,0.249023438,0.053710938,0.114135742
row_62,-0.234375,0.05859375,0.120849609
row_63,-0.64453125,0.051269531,0.122680664
row_71,-0.244140625,0.070800781,0.126953125
row_72,-0.654296875,0.070800781,0.149536133
row_73,-0.21484375,0.070800781,0.092773438
row_74,0.263671875,0.061035156,0.098876953
row_75,-0.60546875,0.065917969,0.121459961
row_76,0.341796875,0.070800781,0.101928711
row_94,6.41e-10,1.05e-08,4.07e-11
row_95,-0.217285156,0.063476563,0.111083984
row_96,0.102539063,0.05859375,0.126953125
row_97,-0.627441406,0.070800781,0.119628906
row_130,-0.15625,0.061035156,0.090332031
row_131,-0.224609375,0.065917969,0.078125
row_132,0.131835938,0.056152344,0.075073242
row_133,-0.5078125,0.053710938,0.092773438
row_145,0.087890625,0.05859375,0.090942383
row_146,0.249023438,0.056152344,0.088500977
row_154,-0.458984375,0.068359375,0.08605957
row_155,0.258789063,0.063476563,0.098266602
