,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
row_0,1,1,0,2,1.5,0.5,1,-0.017089844,0.625,0.078125,0.314941406,0.087280273,0.103759766
row_1,1,2,,4,1.5,0.5,1,0.307617188,0.668945313,0.075683594,0.301513672,0.086669922,0.099487305
row_2,1,3,,6,1.5,0.5,1,-0.725097656,0.913085938,0.083007813,0.295410156,0.092773438,0.104980469
row_3,1,4,0.11,7,1.5,0.5,1,0.112304688,0.131835938,0.083007813,0.316162109,0.112915039,0.139770508
row_4,1,5,,11,1.5,0.5,1,-0.122070313,0.44921875,0.107421875,0.284423828,0.095825195,0.110473633
row_5,1,6,0.2,15,1.5,0.5,1,0.329589844,0.68359375,0.070800781,0.307617188,0.103759766,0.120239258
row_6,1,7,0.24,19,1.5,0.5,1,-0.578613281,1.381835938,0.065917969,0.322265625,0.090942383,0.123901367
row_7,1,8,0.29,22,1.5,0.5,1,0.300292969,1.435546875,0.061035156,0.308837891,0.092773438,0.108642578
row_8,1,9,0.28,26,1.5,0.5,1,-0.305175781,1.450195313,0.065917969,0.284423828,0.084228516,0.098876953
row_9,1,10,0.29,29,1.5,0.5,1,0.21484375,1.40625,0.061035156,0.279541016,0.087890625,0.106811523
row_10,1,11,0.38,32,1.5,0.5,1,-0.595703125,1.381835938,0.068359375,0.301513672,0.099487305,0.120849609
row_11,1,12,0.4,35,1.5,0.5,1,0.229492188,1.391601563,0.056152344,0.391845703,0.085449219,0.10925293
row_12,1,13,0.43,38,1.5,0.5,1,-0.595703125,1.342773438,0.05859375,0.317382813,0.096435547,0.113525391
row_13,1,14,0.45,41,1.5,0.5,1,0.1953125,1.401367188,0.102539063,0.3515625,0.092163086,0.104370117
row_14,1,15,0.5,44,1.5,0.5,1,-0.625,1.38671875,0.083007813,0.295410156,0.095825195,0.103759766
row_15,1,16,,46,1.5,0.5,1,-0.625,1.401367188,0.085449219,0.305175781,0.076904297,0.094604492
row_16,1,17,0.44,48,1.5,0.5,1,0.336914063,1.450195313,0.080566406,0.280761719,0.078125,0.095825195
row_17,2,1,0.08,3,0.75,0.5,1,-0.649414063,1.3671875,0.087890625,0.307617188,0.018310547,0.123291016
row_18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.061035156,0.286865234,0.082397461,0.106201172
row_19,2,3,0.14,12,0.75,0.5,1,0.297851563,1.38671875,0.068359375,0.345458984,0.093383789,0.110473633
row_20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.362304688,0.087890625,0.29296875,0.092163086,0.107421875
row_21,2,5,0.15,22,0.75,0.5,1,-0.620117188,1.333007813,0.09765625,0.294189453,0.017700195,0.093994141
row_22,2,6,,24,0.75,0.5,1,0.205078125,1.376953125,0.17578125,0.3125,0.109863281,0.134277344
row_23,2,7,0.18,27,0.75,0.5,1,-0.361328125,1.381835938,0.092773438,0.305175781,0.112915039,0.129394531
row_24,2,8,0.22,33,0.75,0.5,1,0.278320313,1.372070313,0.087890625,0.283203125,0.093994141,0.114135742
row_25,2,9,0.26,39,0.75,0.5,1,-0.053710938,1.401367188,0.085449219,0.274658203,0.091552734,0.106201172
row_26,2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.102539063,0.286865234,0.097045898,0.10559082
row_27,2,11,0.38,51,0.75,0.5,1,-0.183105469,1.420898438,0.109863281,0.279541016,0.099487305,0.104370117
row_28,2,12,0.43,59,0.75,0.5,1,-0.183105469,1.396484375,0.100097656,0.284423828,0.100708008,0.118408203
row_29,2,13,0.48,66,0.75,0.5,1,-0.124511719,1.401367188,0.095214844,0.294189453,0.114135742,0.132446289
row_30,2,14,0.55,72,0.75,0.5,1,-0.615234375,1.362304688,0.085449219,0.281982422,0.104980469,0.123291016
row_31,3,1,0,0,0.75,0.25,1,-0.554199219,1.2890625,0.100097656,0.25390625,0.108032227,0.123291016
row_32,3,2,0.13,3,0.75,0.25,1,-0.607910156,1.337890625,0.109863281,0.277099609,0.112304688,0.12512207
row_33,3,3,0.13,9,0.75,0.25,1,0.161132813,1.333007813,0.100097656,0.277099609,0.1171875,0.13671875
row_34,3,5,0.17,21,0.75,0.25,1,0.112304688,1.42578125,0.178222656,0.283203125,0.130615234,0.151977539
row_35,3,6,0.19,27,0.75,0.25,1,0.139160156,1.372070313,0.170898438,0.294189453,0.119628906,0.148925781
row_36,3,7,0.2,33,0.75,0.25,1,0.378417969,1.38671875,0.1953125,0.290527344,0.128173828,0.160522461
row_37,3,8,0.23,39,0.75,0.25,1,0.285644531,1.376953125,0.190429688,0.285644531,0.133056641,0.160522461
row_38,3,9,0.23,45,0.75,0.25,1,-0.063476563,1.430664063,0.168457031,0.285644531,0.1171875,0.149536133
row_39,3,10,0.26,51,0.75,0.25,1,0.249023438,1.396484375,0.17578125,0.288085938,0.130615234,0.16418457
row_40,3,11,0.28,57,0.75,0.25,1,-0.146484375,1.42578125,0.109863281,0.299072266,0.135498047,0.161132813
row_41,3,12,0.33,63,0.75,0.25,1,-0.668945313,1.38671875,0.1171875,0.264892578,0.125732422,0.15625
row_42,3,14,0.36,69,0.75,0.25,1,0.278320313,1.357421875,0.183105469,0.207519531,0.115356445,0.136108398
row_43,3,15,0.44,75,0.75,0.25,1,-0.263671875,1.416015625,0.187988281,0.281982422,0.118408203,0.142211914
row_44,3,16,0.55,81,0.75,0.25,1,-0.300292969,1.3671875,0.187988281,0.281982422,0.133666992,0.16784668
row_45,4,1,0.08,3,1.5,0.25,1,-0.241699219,1.34765625,0.161132813,0.285644531,0.121459961,0.153198242
row_46,4,2,0.13,9,1.5,0.25,1,0.341796875,1.391601563,0.173339844,0.2734375,0.106201172,0.128173828
row_47,4,3,0.2,15,1.5,0.25,1,0.275878906,1.376953125,0.29296875,0.301513672,0.10925293,0.136108398
row_48,4,4,0.31,21,1.5,0.25,1,-0.322265625,1.401367188,0.114746094,0.269775391,0.130004883,0.156860352
row_49,4,5,0.35,27,1.5,0.25,1,-0.185546875,1.391601563,0.092773438,0.266113281,0.114746094,0.136108398
row_50,4,6,0.4,34,1.5,0.25,1,-0.295410156,1.381835938,0.075683594,0.3125,0.107421875,0.12512207
row_51,4,7,0.49,39,1.5,0.25,1,-0.151367188,1.342773438,0.068359375,0.297851563,0.10559082,0.116577148
row_52,9,1,0,1,1.5,0.5,1,-0.407714844,1.3671875,0.090332031,0.29296875,0.145263672,0.171508789
