Unnamed: 0,smcAC,vib_table,AE_table
row_0,-0.017089844,0.078125,0.087280273
row_1,0.307617188,0.075683594,0.086669922
row_2,-0.725097656,0.083007813,0.092773438
row_3,0.112304688,0.083007813,0.112915039
row_4,-0.122070313,0.107421875,0.095825195
row_5,0.329589844,0.070800781,0.103759766
row_6,-0.578613281,0.065917969,0.090942383
row_7,0.300292969,0.061035156,0.092773438
row_8,-0.305175781,0.065917969,0.084228516
row_9,0.21484375,0.061035156,0.087890625
row_10,-0.595703125,0.068359375,0.099487305
row_11,0.229492188,0.056152344,0.085449219
row_12,-0.595703125,0.05859375,0.096435547
row_13,0.1953125,0.102539063,0.092163086
row_14,-0.625,0.083007813,0.095825195
row_15,-0.625,0.085449219,0.076904297
row_16,0.336914063,0.080566406,0.078125
row_17,-0.649414063,0.087890625,0.018310547
row_18,-0.751953125,0.061035156,0.082397461
row_19,0.297851563,0.068359375,0.093383789
row_20,-0.556640625,0.087890625,0.092163086
row_21,-0.620117188,0.09765625,0.017700195
row_22,0.205078125,0.17578125,0.109863281
row_23,-0.361328125,0.092773438,0.112915039
row_24,0.278320313,0.087890625,0.093994141
row_25,-0.053710938,0.085449219,0.091552734
row_26,0.126953125,0.102539063,0.097045898
row_27,-0.183105469,0.109863281,0.099487305
row_28,-0.183105469,0.100097656,0.100708008
row_29,-0.124511719,0.095214844,0.114135742
row_30,-0.615234375,0.085449219,0.104980469
row_31,-0.554199219,0.100097656,0.108032227
row_32,-0.607910156,0.109863281,0.112304688
row_33,0.161132813,0.100097656,0.1171875
row_34,0.112304688,0.178222656,0.130615234
row_35,0.139160156,0.170898438,0.119628906
row_36,0.378417969,0.1953125,0.128173828
row_37,0.285644531,0.190429688,0.133056641
row_38,-0.063476563,0.168457031,0.1171875
row_39,0.249023438,0.17578125,0.130615234
row_40,-0.146484375,0.109863281,0.135498047
row_41,-0.668945313,0.1171875,0.125732422
row_42,0.278320313,0.183105469,0.115356445
row_43,-0.263671875,0.187988281,0.118408203
row_44,-0.300292969,0.187988281,0.133666992
