Unnamed: 0,smcAC,vib_table,AE_table
row_71,-0.244140625,0.070800781,0.126953125
row_72,-0.654296875,0.070800781,0.149536133
row_73,-0.21484375,0.070800781,0.092773438
row_74,0.263671875,0.061035156,0.098876953
row_75,-0.60546875,0.065917969,0.121459961
row_76,0.341796875,0.070800781,0.101928711
row_77,0.21484375,0.068359375,0.085449219
row_78,-0.366210938,0.065917969,0.096435547
row_79,-0.678710938,0.063476563,0.106811523
row_80,-0.463867188,0.070800781,0.100708008
row_81,0.146484375,0.068359375,0.095214844
row_82,-0.329589844,0.078125,0.115356445
row_83,-0.549316406,0.078125,0.092163086
row_84,-0.554199219,0.078125,0.091552734
row_85,-0.092773438,0.085449219,0.095825195
row_86,-0.676269531,0.092773438,0.114746094
row_87,-0.122070313,0.085449219,0.115966797
row_88,0.244140625,0.080566406,0.117797852
row_89,0.246582031,0.078125,0.082397461
row_90,-0.09765625,0.13671875,0.098876953
row_91,-0.0390625,0.083007813,0.111694336
row_92,-0.798339844,0.073242188,0.102539063
row_93,0.21484375,0.070800781,0.09765625
