case,variable,W_statistic,p_value,normal
1,AE_table,0.967963711362863,0.7818619688352635,Yes
1,vib_table,0.9288415781739776,0.20813520114093992,Yes
1,smcAC,0.8356290151507292,0.006524287514398425,No
2,AE_table,0.6960067383788966,0.00033601343491544374,No
2,vib_table,0.7574980171660735,0.0015591824430457486,No
2,smcAC,0.9173288863516154,0.2012380617906499,Yes
3,AE_table,0.9328386673516789,0.334266736857609,Yes
3,vib_table,0.7959206686127097,0.004445507755095553,No
3,smcAC,0.9081707388145909,0.14823294553026334,Yes
4,AE_table,0.8571716859222651,0.14278523411724908,Yes
4,vib_table,0.865646790966351,0.16996366160760834,Yes
4,smcAC,0.7955344665371273,0.03699181234170414,No
5,AE_table,0.7399449057738597,0.015853171078755356,No
5,vib_table,0.8531916064307977,0.16700283276637184,Yes
5,smcAC,0.7658146564544772,0.02832450524519557,No
7,AE_table,0.7153782739269866,0.0033578299175850406,No
7,vib_table,0.8774498977488997,0.17801774049397073,Yes
7,smcAC,0.8841014279864456,0.2060268614438454,Yes
8,AE_table,0.6983428909616055,0.0059377416467159974,No
8,vib_table,0.886308785492968,0.2992967479051983,Yes
8,smcAC,0.6774715345074303,0.003547380854091315,No
9,AE_table,0.9697902787648117,0.8929298485893435,Yes
9,vib_table,0.7239250742608851,0.0026982278673964447,No
9,smcAC,0.9152376007187155,0.3542715072927458,Yes
10,AE_table,0.9428199308977171,0.5847967375209845,Yes
10,vib_table,0.8281113634120664,0.03175259515695009,No
10,smcAC,0.802819610634726,0.015688503662867823,No
11,AE_table,0.9198028292789752,0.06597576323300419,Yes
11,vib_table,0.6978827246537302,1.3141835847949772e-05,No
11,smcAC,0.9244842770047584,0.08315728074043399,Yes
12,AE_table,0.6976654919451761,0.0002346563056646368,No
12,vib_table,0.6086504045776118,3.0606756959916275e-05,No
12,smcAC,0.8977294846397998,0.08787469081241411,Yes
13,AE_table,0.7379918906588072,0.0006532412474986263,No
13,vib_table,0.8202292499690741,0.0067643299404358224,No
13,smcAC,0.8562120666273781,0.02128928808274728,No
14,AE_table,0.8681705606635025,0.11751892056845437,Yes
14,vib_table,0.772887083212064,0.009973316580196668,No
14,smcAC,0.7740143945683678,0.010276316398645626,No
15,AE_table,0.8653593788750644,0.1689716899937972,Yes
15,vib_table,0.9670662871686725,0.8765534499117309,Yes
15,smcAC,0.8853783828980092,0.2514123789326234,Yes
16,AE_table,0.9705262093070325,0.8959504449874864,Yes
16,vib_table,0.789635171656787,0.04732060650817202,No
16,smcAC,0.9417641738277901,0.6734440481734232,Yes
