case,total_observations,healthy_observations,minimum_VB_healthy,maximum_VB_healthy,mean_smcAC,mean_vib_table,mean_AE_table
1,17,10,0.0,0.29,-0.04833984359999999,0.0751953126,0.09350585950000001
2,14,9,0.08,0.26,-0.24576822922222222,0.09385850700000001,0.07914225255555556
3,14,10,0.0,0.28,-0.004638671799999996,0.1499023437,0.1232299805
4,7,3,0.08,0.2,0.12532552066666666,0.20914713566666668,0.11230468766666668
5,6,3,0.0,0.29,-0.04557291633333333,0.07893880199999999,0.08117675766666667
7,8,6,0.0,0.24,-0.2339680991666667,0.06429036466666666,0.092163086
8,6,3,0.0,0.3,-0.005696614666666673,0.06266276066666666,0.07486979166666667
9,9,5,0.0,0.27,-0.3115234376,0.06445312519999999,0.11718750000000003
10,10,5,0.0,0.25,-0.2548828126,0.055664062599999994,0.1198730466
11,23,14,0.0,0.285,-0.2638462612857143,0.07010323657142857,0.10537283764285714
12,15,7,0.05,0.24,-0.25041852657142855,0.06452287957142858,0.12207031242857143
13,15,4,0.1,0.2733333333333333,-0.3076171875,0.06103515650000001,0.06591796874999999
14,9,4,0.09,0.295,-0.06591796874999999,0.05859375024999999,0.09674072275
15,7,2,0.15,0.28,0.2929687505,0.0610351565,0.09033203149999999
