case,healthy_observations,mean_smcAC,mean_vib_table,mean_AE_table
1,10,-0.04833984359999999,0.0751953126,0.09350585950000001
2,9,-0.24576822922222222,0.09385850700000001,0.07914225255555556
3,10,-0.004638671799999996,0.1499023437,0.1232299805
4,3,0.12532552066666666,0.20914713566666668,0.11230468766666668
5,3,-0.04557291633333333,0.07893880199999999,0.08117675766666667
6,1,-0.224609375,0.080566406,0.020751953
7,6,-0.2339680991666667,0.06429036466666666,0.092163086
8,3,-0.005696614666666673,0.06266276066666666,0.07486979166666667
9,5,-0.3115234376,0.06445312519999999,0.11718750000000003
10,5,-0.2548828126,0.055664062599999994,0.1198730466
11,14,-0.2638462612857143,0.07010323657142857,0.10537283764285714
12,7,-0.25041852657142855,0.06452287957142858,0.12207031242857143
13,4,-0.3076171875,0.06103515650000001,0.06591796874999999
14,4,-0.06591796874999999,0.05859375024999999,0.09674072275
15,2,0.2929687505,0.0610351565,0.09033203149999999
16,1,-0.200195313,0.065917969,0.114746094
