Unnamed: 0,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle,mahalanobis_distance_squared
row_0,1,1,0.0,2,1.5,0.5,1,-0.017089844,0.625,0.078125,0.314941406,0.087280273,0.103759766,0.0652953956499732
row_1,1,2,0.0366666666666666,4,1.5,0.5,1,0.307617188,0.668945313,0.075683594,0.301513672,0.086669922,0.099487305,1.0721135674926137
row_2,1,3,0.0733333333333333,6,1.5,0.5,1,-0.725097656,0.913085938,0.083007813,0.295410156,0.092773438,0.104980469,3.9576686086787234
row_3,1,4,0.11,7,1.5,0.5,1,0.112304688,0.131835938,0.083007813,0.316162109,0.112915039,0.139770508,0.6380008764780978
row_4,1,5,0.155,11,1.5,0.5,1,-0.122070313,0.44921875,0.107421875,0.284423828,0.095825195,0.110473633,0.7718004634849338
row_5,1,6,0.2,15,1.5,0.5,1,0.329589844,0.68359375,0.070800781,0.307617188,0.103759766,0.120239258,1.4023365974006448
row_6,1,7,0.24,19,1.5,0.5,1,-0.578613281,1.381835938,0.065917969,0.322265625,0.090942383,0.123901367,2.1658124363235483
row_7,1,8,0.29,22,1.5,0.5,1,0.300292969,1.435546875,0.061035156,0.308837891,0.092773438,0.108642578,1.290947898098529
row_8,1,9,0.28,26,1.5,0.5,1,-0.305175781,1.450195313,0.065917969,0.284423828,0.084228516,0.098876953,0.5918042400901828
row_9,1,10,0.29,29,1.5,0.5,1,0.21484375,1.40625,0.061035156,0.279541016,0.087890625,0.106811523,0.8292532796930034
row_10,1,11,0.38,32,1.5,0.5,1,-0.595703125,1.381835938,0.068359375,0.301513672,0.099487305,0.120849609,2.3728293359526114
row_11,1,12,0.4,35,1.5,0.5,1,0.229492188,1.391601563,0.056152344,0.391845703,0.085449219,0.10925293,1.0647462081463137
row_12,1,13,0.43,38,1.5,0.5,1,-0.595703125,1.342773438,0.05859375,0.317382813,0.096435547,0.113525391,2.300679299424779
row_13,1,14,0.45,41,1.5,0.5,1,0.1953125,1.401367188,0.102539063,0.3515625,0.092163086,0.104370117,0.7319205946436504
row_14,1,15,0.5,44,1.5,0.5,1,-0.625,1.38671875,0.083007813,0.295410156,0.095825195,0.103759766,2.898205583751419
row_15,1,16,0.47,46,1.5,0.5,1,-0.625,1.401367188,0.085449219,0.305175781,0.076904297,0.094604492,3.44459661481201
row_16,1,17,0.44,48,1.5,0.5,1,0.336914063,1.450195313,0.080566406,0.280761719,0.078125,0.095825195,1.4522081817671542
row_17,2,1,0.08,3,0.75,0.5,1,-0.649414063,1.3671875,0.087890625,0.307617188,0.018310547,0.123291016,5.933329720711301
row_18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.061035156,0.286865234,0.082397461,0.106201172,2.2107098440244943
row_19,2,3,0.14,12,0.75,0.5,1,0.297851563,1.38671875,0.068359375,0.345458984,0.093383789,0.110473633,3.7543288398934145
row_20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.362304688,0.087890625,0.29296875,0.092163086,0.107421875,0.9657186657389751
row_21,2,5,0.15,22,0.75,0.5,1,-0.620117188,1.333007813,0.09765625,0.294189453,0.017700195,0.093994141,6.18906522863764
row_22,2,6,0.1649999999999999,24,0.75,0.5,1,0.205078125,1.376953125,0.17578125,0.3125,0.109863281,0.134277344,4.896756530441795
row_23,2,7,0.18,27,0.75,0.5,1,-0.361328125,1.381835938,0.092773438,0.305175781,0.112915039,0.129394531,1.5474589002098553
row_24,2,8,0.22,33,0.75,0.5,1,0.278320313,1.372070313,0.087890625,0.283203125,0.093994141,0.114135742,2.7190309613935737
row_25,2,9,0.26,39,0.75,0.5,1,-0.053710938,1.401367188,0.085449219,0.274658203,0.091552734,0.106201172,0.6503574456228423
row_26,2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.102539063,0.286865234,0.097045898,0.10559082,1.4381503328093062
row_27,2,11,0.38,51,0.75,0.5,1,-0.183105469,1.420898438,0.109863281,0.279541016,0.099487305,0.104370117,0.5661312458274405
row_28,2,12,0.43,59,0.75,0.5,1,-0.183105469,1.396484375,0.100097656,0.284423828,0.100708008,0.118408203,0.5878344595745908
